event,seed,POD,precision,F1,ROC_AUC,AP,scar_mean,non_scar_mean,separation
Pohang 2022,42,0.8672,0.0013,0.0027,0.5319,0.0013,0.8481,0.8000,+0.0481
Pohang 2022,7,0.8535,0.0013,0.0026,0.5355,0.0013,0.8456,0.7983,+0.0473
Pohang 2022,19,0.8681,0.0013,0.0026,0.5360,0.0013,0.8476,0.8037,+0.0439
Pohang 2022,113,0.8726,0.0013,0.0026,0.5293,0.0013,0.8517,0.8055,+0.0461
Pohang 2022,271,0.8571,0.0013,0.0027,0.5314,0.0013,0.8405,0.7954,+0.0450
Yecheon 2023,42,0.4387,0.0140,0.0272,0.4283,0.0134,0.4807,0.5601,-0.0794
Yecheon 2023,7,0.4483,0.0143,0.0277,0.4343,0.0136,0.4942,0.5652,-0.0709
Yecheon 2023,19,0.4455,0.0140,0.0271,0.4295,0.0134,0.4981,0.5737,-0.0756
Yecheon 2023,113,0.4653,0.0143,0.0278,0.4310,0.0134,0.5008,0.5744,-0.0736
Yecheon 2023,271,0.4233,0.0139,0.0269,0.4290,0.0135,0.4818,0.5593,-0.0775
Chuncheon 2020,42,0.6636,0.0118,0.0232,0.4670,0.0114,0.6528,0.6814,-0.0285
Chuncheon 2020,7,0.6707,0.0119,0.0235,0.4695,0.0115,0.6613,0.6885,-0.0272
Chuncheon 2020,19,0.6663,0.0117,0.0230,0.4684,0.0114,0.6643,0.6904,-0.0261
Chuncheon 2020,113,0.6870,0.0119,0.0233,0.4685,0.0114,0.6700,0.6969,-0.0269
Chuncheon 2020,271,0.6465,0.0118,0.0233,0.4679,0.0115,0.6491,0.6786,-0.0295
