event,corner,phi,c,T,ROC_AUC,separation
pohang,phi_lo+c_lo+T_lo,28.0,1000.0,5.00e-05,0.4406,-3.7446e+08
pohang,phi_lo+c_lo+T_hi,28.0,1000.0,5.00e-04,0.4406,-3.7446e+07
pohang,phi_lo+c_hi+T_lo,28.0,6000.0,5.00e-05,0.4800,+2.0982e+07
pohang,phi_lo+c_hi+T_hi,28.0,6000.0,5.00e-04,0.4800,+2.0982e+06
pohang,phi_hi+c_lo+T_lo,36.0,1000.0,5.00e-05,0.4732,-1.4219e+07
pohang,phi_hi+c_lo+T_hi,36.0,1000.0,5.00e-04,0.4732,-1.4219e+06
pohang,phi_hi+c_hi+T_lo,36.0,6000.0,5.00e-05,0.4855,+3.0535e+07
pohang,phi_hi+c_hi+T_hi,36.0,6000.0,5.00e-04,0.4855,+3.0535e+06
yecheon,phi_lo+c_lo+T_lo,28.0,1000.0,5.00e-05,0.5141,+7.0442e+08
yecheon,phi_lo+c_lo+T_hi,28.0,1000.0,5.00e-04,0.5141,+7.0442e+07
yecheon,phi_lo+c_hi+T_lo,28.0,6000.0,5.00e-05,0.4229,-1.2083e+07
yecheon,phi_lo+c_hi+T_hi,28.0,6000.0,5.00e-04,0.4229,-1.2083e+06
yecheon,phi_hi+c_lo+T_lo,36.0,1000.0,5.00e-05,0.4370,+6.8319e+06
yecheon,phi_hi+c_lo+T_hi,36.0,1000.0,5.00e-04,0.4370,+6.8319e+05
yecheon,phi_hi+c_hi+T_lo,36.0,6000.0,5.00e-05,0.4008,-1.2510e+07
yecheon,phi_hi+c_hi+T_hi,36.0,6000.0,5.00e-04,0.4008,-1.2510e+06
chuncheon,phi_lo+c_lo+T_lo,28.0,1000.0,5.00e-05,0.4791,-1.1053e+08
chuncheon,phi_lo+c_lo+T_hi,28.0,1000.0,5.00e-04,0.4791,-1.1053e+07
chuncheon,phi_lo+c_hi+T_lo,28.0,6000.0,5.00e-05,0.4649,+4.5354e+07
chuncheon,phi_lo+c_hi+T_hi,28.0,6000.0,5.00e-04,0.4649,+4.5354e+06
chuncheon,phi_hi+c_lo+T_lo,36.0,1000.0,5.00e-05,0.4646,+3.6184e+07
chuncheon,phi_hi+c_lo+T_hi,36.0,1000.0,5.00e-04,0.4646,+3.6184e+06
chuncheon,phi_hi+c_hi+T_lo,36.0,6000.0,5.00e-05,0.4583,+3.2298e+06
chuncheon,phi_hi+c_hi+T_hi,36.0,6000.0,5.00e-04,0.4583,+3.2298e+05
