event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count
pohang_2022,37011310,경상북도,경상북도 포항시,대송면,1,1.0,1.0,32545556.298662115,823
pohang_2022,37011320,경상북도,경상북도 포항시,동해면,1,0.541725361591241,1.0,44227074.814147644,29588
pohang_2022,37011550,경상북도,경상북도 포항시,송도동,0,0.96222357207486,1.0,2220743.716908307,2469
pohang_2022,37011560,경상북도,경상북도 포항시,청림동,0,0.9535035140345068,1.0,6857751.685081772,7541
pohang_2022,37011570,경상북도,경상북도 포항시,제철동,1,0.9359859017830018,1.0,21053147.20873686,20570
pohang_2022,37011580,경상북도,경상북도 포항시,효곡동,0,0.9330791652079153,1.0,5880715.445787152,6518
pohang_2022,37011590,경상북도,경상북도 포항시,대이동,0,0.9094595087206857,1.0,4928200.580130588,5458
pohang_2022,37011600,경상북도,경상북도 포항시,상대동,0,0.9701730917983876,1.0,3433270.435078629,3813
pohang_2022,37011610,경상북도,경상북도 포항시,해도동,0,0.9903539820610228,1.0,1940011.3499734749,2147
pohang_2022,37012110,경상북도,경상북도 포항시,흥해읍,0,0.7823941868770538,1.0,107993196.79194345,119715
pohang_2022,37012310,경상북도,경상북도 포항시,신광면,0,0.5067444011366049,1.0,79974983.66575406,88721
pohang_2022,37012320,경상북도,경상북도 포항시,청하면,0,0.5431332054126123,1.0,78209413.67787951,75185
pohang_2022,37012330,경상북도,경상북도 포항시,송라면,0,0.0,0.0,59499596.108827405,6127
pohang_2022,37012340,경상북도,경상북도 포항시,기계면,0,0.5010359995529475,1.0,91782666.09600341,55917
pohang_2022,37012350,경상북도,경상북도 포항시,죽장면,0,0.031352878110890575,0.03999999910593033,236169916.1391075,10267
pohang_2022,37012360,경상북도,경상북도 포항시,기북면,0,0.28162683228752844,1.0,52489374.53796785,32677
pohang_2022,37012580,경상북도,경상북도 포항시,양학동,0,0.8955122396376927,1.0,1986241.0742862872,2206
pohang_2022,37012610,경상북도,경상북도 포항시,용흥동,0,0.911383390196083,1.0,3964480.3399881786,4395
pohang_2022,37012630,경상북도,경상북도 포항시,우창동,0,0.9037963778984797,1.0,6255341.098736702,6954
pohang_2022,37012640,경상북도,경상북도 포항시,두호동,0,0.943022976042714,1.0,1491430.6889831705,1654
pohang_2022,37012650,경상북도,경상북도 포항시,장량동,0,0.9384404345145437,1.0,11228142.393335551,12465
pohang_2022,37012660,경상북도,경상북도 포항시,환여동,0,0.90229864180658,1.0,2453450.3761418327,2719
pohang_2022,37012670,경상북도,경상북도 포항시,중앙동,0,0.9441868652639862,1.0,2314686.227764467,2558
pohang_2022,37012680,경상북도,경상북도 포항시,죽도동,0,0.9674162213636753,1.0,1858132.388293404,2059
pohang_2022,37020120,경상북도,경상북도 경주시,안강읍,0,0.9685460910789866,1.0,138514156.07520592,40594
