event,ADM_CD,SIDO,SIGUNGU,EMD,label_source,positive,mean_prob,pixel_count
pohang_2022,37011310,경상북도,경상북도 포항시,대송면,Sentinel scar label,0,1.0,823
pohang_2022,37011320,경상북도,경상북도 포항시,동해면,Sentinel scar label,1,0.541725361591241,29588
pohang_2022,37011550,경상북도,경상북도 포항시,송도동,Sentinel scar label,1,0.96222357207486,2469
pohang_2022,37011560,경상북도,경상북도 포항시,청림동,Sentinel scar label,1,0.9535035140345068,7541
pohang_2022,37011570,경상북도,경상북도 포항시,제철동,Sentinel scar label,1,0.9359859017830018,20570
pohang_2022,37011580,경상북도,경상북도 포항시,효곡동,Sentinel scar label,1,0.9330791652079153,6518
pohang_2022,37011590,경상북도,경상북도 포항시,대이동,Sentinel scar label,1,0.9094595087206857,5458
pohang_2022,37011600,경상북도,경상북도 포항시,상대동,Sentinel scar label,1,0.9701730917983876,3813
pohang_2022,37011610,경상북도,경상북도 포항시,해도동,Sentinel scar label,1,0.9903539820610228,2147
pohang_2022,37012110,경상북도,경상북도 포항시,흥해읍,Sentinel scar label,1,0.7823941868770538,119715
pohang_2022,37012310,경상북도,경상북도 포항시,신광면,Sentinel scar label,1,0.5067444011366049,88721
pohang_2022,37012320,경상북도,경상북도 포항시,청하면,Sentinel scar label,1,0.5431332054126123,75185
pohang_2022,37012330,경상북도,경상북도 포항시,송라면,Sentinel scar label,0,0.0,6127
pohang_2022,37012340,경상북도,경상북도 포항시,기계면,Sentinel scar label,1,0.5010359995529475,55917
pohang_2022,37012350,경상북도,경상북도 포항시,죽장면,Sentinel scar label,0,0.031352878110890575,10267
pohang_2022,37012360,경상북도,경상북도 포항시,기북면,Sentinel scar label,1,0.28162683228752844,32677
pohang_2022,37012580,경상북도,경상북도 포항시,양학동,Sentinel scar label,1,0.8955122396376927,2206
pohang_2022,37012610,경상북도,경상북도 포항시,용흥동,Sentinel scar label,1,0.911383390196083,4395
pohang_2022,37012630,경상북도,경상북도 포항시,우창동,Sentinel scar label,1,0.9037963778984797,6954
pohang_2022,37012640,경상북도,경상북도 포항시,두호동,Sentinel scar label,1,0.943022976042714,1654
pohang_2022,37012650,경상북도,경상북도 포항시,장량동,Sentinel scar label,1,0.9384404345145437,12465
pohang_2022,37012660,경상북도,경상북도 포항시,환여동,Sentinel scar label,1,0.90229864180658,2719
pohang_2022,37012670,경상북도,경상북도 포항시,중앙동,Sentinel scar label,1,0.9441868652639862,2558
pohang_2022,37012680,경상북도,경상북도 포항시,죽도동,Sentinel scar label,0,0.9674162213636753,2059
pohang_2022,37020120,경상북도,경상북도 경주시,안강읍,Sentinel scar label,1,0.9685460910789866,40594
pohang_2022,37020370,경상북도,경상북도 경주시,강동면,Sentinel scar label,1,0.7721296600283138,52121
pohang_2022,37011130,경상북도,경상북도 포항시,오천읍,Sentinel scar label,0,1.0,1199
pohang_2022,37011110,경상북도,경상북도 포항시,구룡포읍,Sentinel scar label,0,0.0,4530
pohang_2022,37011120,경상북도,경상북도 포항시,연일읍,Sentinel scar label,1,0.7675691546321035,32355
yecheon_2023,32530380,강원도,강원도 영월군,김삿갓면,Sentinel scar label,0,0.0,2
yecheon_2023,37090330,경상북도,경상북도 문경시,호계면,Sentinel scar label,1,0.8194070663406267,59602
yecheon_2023,37090360,경상북도,경상북도 문경시,마성면,Sentinel scar label,1,0.8665120342479322,83467
yecheon_2023,37090370,경상북도,경상북도 문경시,농암면,Sentinel scar label,1,0.5095613659785586,114811
yecheon_2023,37090570,경상북도,경상북도 문경시,점촌1동,Sentinel scar label,0,0.7313320265752679,1021
yecheon_2023,37090580,경상북도,경상북도 문경시,점촌2동,Sentinel scar label,0,0.9049297445014122,5053
yecheon_2023,37040590,경상북도,경상북도 안동시,안기동,Sentinel scar label,0,0.26318023398120716,8034
yecheon_2023,37040600,경상북도,경상북도 안동시,옥동,Sentinel scar label,1,0.4849875104174694,4804
yecheon_2023,37040610,경상북도,경상북도 안동시,송하동,Sentinel scar label,1,0.43104762788469264,10624
yecheon_2023,33030330,충청북도,충청북도 제천시,수산면,Sentinel scar label,1,0.6094035629315062,98686
yecheon_2023,33580310,충청북도,충청북도 단양군,단성면,Sentinel scar label,1,0.6890736582530199,81104
yecheon_2023,33580360,충청북도,충청북도 단양군,적성면,Sentinel scar label,1,0.627771988990757,59129
yecheon_2023,37050110,경상북도,경상북도 구미시,선산읍,Sentinel scar label,0,0.6455570868989455,4353
yecheon_2023,37050320,경상북도,경상북도 구미시,옥성면,Sentinel scar label,1,0.5091032410503538,63763
yecheon_2023,37080110,경상북도,경상북도 상주시,함창읍,Sentinel scar label,1,0.7230943904016311,48352
yecheon_2023,37080320,경상북도,경상북도 상주시,중동면,Sentinel scar label,1,0.8916121544627799,57724
yecheon_2023,37080330,경상북도,경상북도 상주시,낙동면,Sentinel scar label,1,0.543678238677488,99950
yecheon_2023,37080480,경상북도,경상북도 상주시,사벌국면,Sentinel scar label,1,0.7240017419326065,63140
yecheon_2023,37080550,경상북도,경상북도 상주시,동문동,Sentinel scar label,1,0.66864174705353,20011
yecheon_2023,37090310,경상북도,경상북도 문경시,영순면,Sentinel scar label,1,0.6446730934244399,43147
yecheon_2023,37090320,경상북도,경상북도 문경시,산양면,Sentinel scar label,1,0.5283275048460463,36604
yecheon_2023,37090340,경상북도,경상북도 문경시,산북면,Sentinel scar label,1,0.4488046424363173,124674
yecheon_2023,37090350,경상북도,경상북도 문경시,동로면,Sentinel scar label,1,0.29115569909231775,158588
yecheon_2023,37050310,경상북도,경상북도 구미시,무을면,Sentinel scar label,0,0.6689306111759274,13821
yecheon_2023,37080340,경상북도,경상북도 상주시,청리면,Sentinel scar label,1,0.6351557370180261,43920
yecheon_2023,37080350,경상북도,경상북도 상주시,공성면,Sentinel scar label,1,0.6032232714251777,64661
yecheon_2023,37080360,경상북도,경상북도 상주시,외남면,Sentinel scar label,1,0.5320897094512549,36852
yecheon_2023,37080370,경상북도,경상북도 상주시,내서면,Sentinel scar label,1,0.4678752187876646,89421
yecheon_2023,37080380,경상북도,경상북도 상주시,모동면,Sentinel scar label,1,0.745006130874895,66868
yecheon_2023,37080390,경상북도,경상북도 상주시,모서면,Sentinel scar label,1,0.6788369641057185,93875
yecheon_2023,37080400,경상북도,경상북도 상주시,화동면,Sentinel scar label,1,0.7461432603438152,62348
yecheon_2023,37080410,경상북도,경상북도 상주시,화서면,Sentinel scar label,1,0.39864715847404425,66024
yecheon_2023,37080420,경상북도,경상북도 상주시,화북면,Sentinel scar label,1,0.3637346460403654,109906
yecheon_2023,37080430,경상북도,경상북도 상주시,외서면,Sentinel scar label,1,0.3705600145573499,97926
yecheon_2023,37520370,경상북도,경상북도 의성군,금성면,Sentinel scar label,1,0.6933725015973005,20169
yecheon_2023,37520380,경상북도,경상북도 의성군,봉양면,Sentinel scar label,1,0.8411592757327697,67844
yecheon_2023,37520390,경상북도,경상북도 의성군,비안면,Sentinel scar label,1,0.8386869511782573,72564
yecheon_2023,37520400,경상북도,경상북도 의성군,구천면,Sentinel scar label,1,0.8978541983634151,48490
yecheon_2023,37520410,경상북도,경상북도 의성군,단밀면,Sentinel scar label,1,0.8359145625018719,59646
yecheon_2023,37520440,경상북도,경상북도 의성군,다인면,Sentinel scar label,1,0.8864673214658682,99542
yecheon_2023,37520450,경상북도,경상북도 의성군,신평면,Sentinel scar label,1,0.8535903061615453,61783
yecheon_2023,37520460,경상북도,경상북도 의성군,안평면,Sentinel scar label,1,0.8390256867263524,112151
yecheon_2023,37520470,경상북도,경상북도 의성군,안사면,Sentinel scar label,1,0.8651815157272821,68451
yecheon_2023,37530340,경상북도,경상북도 청송군,현서면,Sentinel scar label,0,0.28736491170499406,8550
yecheon_2023,37090610,경상북도,경상북도 문경시,점촌5동,Sentinel scar label,0,0.7642077455702107,2272
yecheon_2023,37600110,경상북도,경상북도 예천군,예천읍,Sentinel scar label,1,0.5148782970750861,52957
yecheon_2023,37600310,경상북도,경상북도 예천군,용문면,Sentinel scar label,1,0.33396352785079286,79129
yecheon_2023,37600340,경상북도,경상북도 예천군,감천면,Sentinel scar label,1,0.3202925246603015,72746
