event_id,event,scale,label_source,roc_auc,separation_sign,n_positive,n_negative,n_valid_or_units,power_note,source_status,method_note
pohang_2022,Pohang 2022,pixel,Sentinel scar label,0.6117835945075769,1.0,1099.0,911285.0,912384.0,pixel count; label-source caveats remain,existing Phase 3b/label-paired table,
pohang_2022,Pohang 2022,pixel,NIDR-only pixel label,,,,,,pixel count; label-source caveats remain,missing/not constructible,variant raster not on disk (Pohang: in-bbox NIDR records = 0)
yecheon_2023,Yecheon 2023,pixel,Sentinel scar label,0.4489613624750874,-1.0,183507.0,10930013.0,11113520.0,pixel count; label-source caveats remain,existing Phase 3b/label-paired table,
yecheon_2023,Yecheon 2023,pixel,NIDR-only pixel label,0.6077288601700142,1.0,231.0,11113289.0,11113520.0,pixel count; label-source caveats remain,existing Phase 3b/label-paired table,
chuncheon_2020,Chuncheon 2020,pixel,Sentinel scar label,0.499200241042151,-1.0,15571.0,1244333.0,1259904.0,pixel count; label-source caveats remain,existing Phase 3b/label-paired table,
chuncheon_2020,Chuncheon 2020,pixel,NIDR-only pixel label,0.6346411132389603,1.0,17.0,1259887.0,1259904.0,pixel count; label-source caveats remain,existing Phase 3b/label-paired table,
pohang_2022,Pohang 2022,EMD aggregate,KFS administrative landslide record,0.5181159420289855,1.0,6.0,23.0,29.0,6 positive / 23 negative EMD units,existing Phase 3c frozen geocode+spatial-join aggregate result,mean SHALSTAB probability per EMD vs KFS positive EMD
yecheon_2023,Yecheon 2023,EMD aggregate,KFS administrative landslide record,0.1480099502487562,-1.0,4.0,201.0,205.0,4 positive / 201 negative EMD units,existing Phase 3c frozen geocode+spatial-join aggregate result,mean SHALSTAB probability per EMD vs KFS positive EMD
chuncheon_2020,Chuncheon 2020,EMD aggregate,KFS administrative landslide record,0.5059523809523809,1.0,6.0,28.0,34.0,6 positive / 28 negative EMD units,existing Phase 3c frozen geocode+spatial-join aggregate result,mean SHALSTAB probability per EMD vs KFS positive EMD
pohang_2022,Pohang 2022,EMD aggregate,Sentinel scar label,0.5217391304347826,1.0,23.0,6.0,29.0,23 positive / 6 negative EMD units,computed in Phase 4 from existing probability and consensus-label rasters,mean SHALSTAB probability per EMD; positive if any Sentinel-label pixel in EMD
yecheon_2023,Yecheon 2023,EMD aggregate,Sentinel scar label,0.3720611285266458,-1.0,176.0,29.0,205.0,176 positive / 29 negative EMD units,computed in Phase 4 from existing probability and consensus-label rasters,mean SHALSTAB probability per EMD; positive if any Sentinel-label pixel in EMD
chuncheon_2020,Chuncheon 2020,EMD aggregate,Sentinel scar label,0.42307692307692313,-1.0,26.0,8.0,34.0,26 positive / 8 negative EMD units,computed in Phase 4 from existing probability and consensus-label rasters,mean SHALSTAB probability per EMD; positive if any Sentinel-label pixel in EMD
