event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count,mean_elevation_m,relief_m,log_unit_area_m2
yecheon_2023,32530380,강원도,강원도 영월군,김삿갓면,0,0.0,0.0,171264520.78755254,2,0.0,0.0,18.958719824431906
yecheon_2023,37090330,경상북도,경상북도 문경시,호계면,0,0.8194070663406267,1.0,53686029.39211054,59602,233.89996337890625,730.236083984375,17.79866336533564
yecheon_2023,37090360,경상북도,경상북도 문경시,마성면,0,0.8665120342479322,1.0,75198681.08777948,83467,343.8221435546875,962.5696411132812,18.135644250039928
yecheon_2023,37090370,경상북도,경상북도 문경시,농암면,0,0.5095613659785586,1.0,103403552.33906408,114811,387.59002685546875,833.673828125,18.45414987475857
yecheon_2023,37090570,경상북도,경상북도 문경시,점촌1동,0,0.7313320265752679,1.0,920319.4986198517,1021,100.15152740478516,161.58831787109375,13.732476169845631
yecheon_2023,37090580,경상북도,경상북도 문경시,점촌2동,0,0.9049297445014122,1.0,4559221.848497204,5053,69.82391357421875,50.04521942138672,15.332662519669283
yecheon_2023,37040590,경상북도,경상북도 안동시,안기동,0,0.2631802339812071,1.0,7232610.017258616,8034,182.95301818847656,170.99105834960938,15.794110527228467
yecheon_2023,37040600,경상북도,경상북도 안동시,옥동,0,0.4849875104174694,1.0,4324425.784168286,4804,118.86540222167969,92.390380859375,15.27978992286755
yecheon_2023,37040610,경상북도,경상북도 안동시,송하동,0,0.4310476278846926,1.0,9574921.267924314,10624,128.8632049560547,147.1739044189453,16.07465787032609
yecheon_2023,33030330,충청북도,충청북도 제천시,수산면,0,0.6094035629315062,1.0,88906128.49158005,98686,309.01361083984375,853.6065063476562,18.303091635021254
yecheon_2023,33580310,충청북도,충청북도 단양군,단성면,0,0.6890736582530199,1.0,73068290.41273901,81104,435.62158203125,862.2586059570312,18.10690504692519
yecheon_2023,33580360,충청북도,충청북도 단양군,적성면,0,0.627771988990757,1.0,72410307.44443952,59129,324.98516845703125,982.5511474609375,18.0978592152397
yecheon_2023,37050110,경상북도,경상북도 구미시,선산읍,0,0.6455570868989455,1.0,67024850.50519553,4353,84.77740478515625,396.2109680175781,18.02057401165032
yecheon_2023,37050320,경상북도,경상북도 구미시,옥성면,0,0.5091032410503538,1.0,66434437.734967455,63763,187.4468231201172,520.485595703125,18.011726120585976
yecheon_2023,37080110,경상북도,경상북도 상주시,함창읍,0,0.7230943904016311,1.0,43539489.33129983,48352,102.02843475341797,333.9485778808594,17.58917888497658
yecheon_2023,37080320,경상북도,경상북도 상주시,중동면,0,0.8916121544627799,1.0,52000993.39066685,57724,106.04842376708984,380.10198974609375,17.7667733800299
yecheon_2023,37080330,경상북도,경상북도 상주시,낙동면,0,0.543678238677488,1.0,90032183.88289706,99950,178.02987670898438,750.724853515625,18.31567776307022
yecheon_2023,37080480,경상북도,경상북도 상주시,사벌국면,0,0.7240017419326065,1.0,56881431.560307264,63140,84.25859832763672,337.8481140136719,17.85647951122109
yecheon_2023,37080550,경상북도,경상북도 상주시,동문동,0,0.66864174705353,1.0,18038597.863658175,20011,103.52847290039062,448.51531982421875,16.7080243458341
yecheon_2023,37090310,경상북도,경상북도 문경시,영순면,0,0.6446730934244399,1.0,38872878.5166731,43147,93.16845703125,222.75701904296875,17.475807355056194
yecheon_2023,37090320,경상북도,경상북도 문경시,산양면,0,0.5283275048460463,1.0,32981053.18936545,36604,106.58961486816406,299.69036865234375,17.31144380876915
yecheon_2023,37090340,경상북도,경상북도 문경시,산북면,0,0.4488046424363173,1.0,112326616.70555986,124674,357.10552978515625,1010.2402954101562,18.536921405922282
yecheon_2023,37090350,경상북도,경상북도 문경시,동로면,0,0.2911556990923177,1.0,142864051.807857,158588,566.2006225585938,972.2832641601562,18.77740404937666
yecheon_2023,37050310,경상북도,경상북도 구미시,무을면,0,0.6689306111759274,1.0,44625062.692649506,13821,299.25396728515625,692.8386840820312,17.613806202940392
yecheon_2023,37080340,경상북도,경상북도 상주시,청리면,0,0.6351557370180261,1.0,39559390.616186425,43920,184.4057159423828,636.3895263671875,17.493313660560364
yecheon_2023,37080350,경상북도,경상북도 상주시,공성면,0,0.6032232714251777,1.0,89213352.10213463,64661,218.99058532714844,684.498779296875,18.306541273591883
yecheon_2023,37080360,경상북도,경상북도 상주시,외남면,0,0.5320897094512549,1.0,33206526.038789783,36852,190.2608184814453,458.94439697265625,17.318256982003298
yecheon_2023,37080370,경상북도,경상북도 상주시,내서면,0,0.4678752187876646,1.0,80541746.12641661,89421,236.63412475585938,643.7274780273438,18.204286193391166
yecheon_2023,37080380,경상북도,경상북도 상주시,모동면,0,0.745006130874895,1.0,70658279.84046513,66868,334.19189453125,927.7072143554688,18.073365855422118
yecheon_2023,37080390,경상북도,경상북도 상주시,모서면,0,0.6788369641057185,1.0,84569226.47100984,93875,307.09320068359375,922.5154418945312,18.253081005104416
yecheon_2023,37080400,경상북도,경상북도 상주시,화동면,0,0.7461432603438152,1.0,56158207.97019771,62348,319.22784423828125,660.862060546875,17.84368340781014
yecheon_2023,37080410,경상북도,경상북도 상주시,화서면,0,0.3986471584740442,1.0,59467292.24926155,66024,359.05499267578125,612.7674560546875,17.900937009273424
yecheon_2023,37080420,경상북도,경상북도 상주시,화북면,0,0.3637346460403654,1.0,98990608.78659712,109906,490.8216552734375,809.8660888671875,18.410535542857858
yecheon_2023,37080430,경상북도,경상북도 상주시,외서면,0,0.3705600145573499,1.0,88201366.76539826,97926,259.8143005371094,728.4631958007812,18.295133017063286
yecheon_2023,37520370,경상북도,경상북도 의성군,금성면,0,0.6933725015973005,1.0,73619353.16810906,20169,150.1876220703125,520.796142578125,18.114418499787295
yecheon_2023,37520380,경상북도,경상북도 의성군,봉양면,0,0.8411592757327697,1.0,67096359.49440494,67844,126.82199096679688,346.0892028808594,18.021640345543158
yecheon_2023,37520390,경상북도,경상북도 의성군,비안면,0,0.8386869511782573,1.0,65381925.68588101,72564,112.53450012207031,335.35577392578125,17.99575641257209
yecheon_2023,37520400,경상북도,경상북도 의성군,구천면,0,0.8978541983634151,1.0,43679341.59245112,48490,147.61314392089844,653.4498901367188,17.592385815854424
yecheon_2023,37520410,경상북도,경상북도 의성군,단밀면,0,0.8359145625018719,1.0,53743510.299609445,59646,113.01153564453125,461.34466552734375,17.799733479070635
yecheon_2023,37520440,경상북도,경상북도 의성군,다인면,0,0.8864673214658682,1.0,89679854.34921847,99542,121.79010772705078,537.3485717773438,18.311756712610205
yecheon_2023,37520450,경상북도,경상북도 의성군,신평면,0,0.8535903061615453,1.0,55681334.19185826,61783,244.5279083251953,431.5499267578125,17.83515553548242
yecheon_2023,37520460,경상북도,경상북도 의성군,안평면,0,0.8390256867263524,1.0,101066239.20211346,112151,192.1699676513672,419.21929931640625,18.431286693524896
yecheon_2023,37520470,경상북도,경상북도 의성군,안사면,0,0.8651815157272821,1.0,61665930.58135819,68451,216.76710510253906,463.92864990234375,17.937242157784734
yecheon_2023,37530340,경상북도,경상북도 청송군,현서면,0,0.287364911704994,1.0,112641656.2680926,8550,356.8484802246094,580.760498046875,18.53972215435053
yecheon_2023,37090610,경상북도,경상북도 문경시,점촌5동,0,0.7642077455702107,1.0,2045914.527956803,2272,95.1264877319336,160.9123992919922,14.531355449428922
yecheon_2023,37600110,경상북도,경상북도 예천군,예천읍,0,0.5148782970750861,1.0,47716153.89658352,52957,127.47166442871094,307.36962890625,17.680780554640393
yecheon_2023,37600310,경상북도,경상북도 예천군,용문면,1,0.3339635278507928,1.0,71311492.55851758,79129,311.239990234375,718.18701171875,18.082568058349427
yecheon_2023,37600340,경상북도,경상북도 예천군,감천면,1,0.3202925246603015,1.0,65541802.10478804,72746,201.95880126953125,595.2420654296875,17.99819869711552
yecheon_2023,37600350,경상북도,경상북도 예천군,보문면,0,0.3590407915781651,1.0,65362706.36470542,72539,228.8612518310547,773.1412963867188,17.99546241470751
yecheon_2023,37600121,경상북도,경상북도 예천군,호명읍,0,0.6077395685655377,1.0,62639337.38297375,69531,128.582275390625,455.9488525390625,17.95290403141357
yecheon_2023,37600370,경상북도,경상북도 예천군,유천면,0,0.4821965044900982,1.0,38755034.73705751,43032,171.5655975341797,622.21630859375,17.472771234021884
yecheon_2023,37600380,경상북도,경상북도 예천군,용궁면,0,0.6203714433504399,1.0,32024590.43311108,35537,89.34996795654297,268.41827392578125,17.2820146166914
yecheon_2023,37600390,경상북도,경상북도 예천군,개포면,0,0.5695846940223606,1.0,36397254.44904844,40404,106.85308074951172,186.01849365234375,17.41000390253825
yecheon_2023,37600400,경상북도,경상북도 예천군,지보면,0,0.6185505507830042,1.0,79867985.7488486,88613,116.9735336303711,277.9433898925781,18.1958856514551
yecheon_2023,37600410,경상북도,경상북도 예천군,풍양면,0,0.7322010298690877,1.0,63674207.975324646,70676,101.41780853271484,372.1518859863281,17.96929014020237
yecheon_2023,37600420,경상북도,경상북도 예천군,효자면,1,0.290553995964905,1.0,67068693.51590796,74459,566.254638671875,904.53662109375,18.02122792847525
yecheon_2023,37600430,경상북도,경상북도 예천군,은풍면,1,0.3161838119467307,1.0,34516221.24856098,38300,313.6580505371094,697.8871459960938,17.35693995261879
yecheon_2023,37610110,경상북도,경상북도 봉화군,봉화읍,0,0.3183252590324592,1.0,74794188.28059898,82980,245.32362365722656,416.7461242675781,18.130250743142717
yecheon_2023,37610310,경상북도,경상북도 봉화군,물야면,0,0.2630848037437363,1.0,109595797.17567362,116056,402.7388610839844,1196.0919189453125,18.512309584805642
yecheon_2023,37610320,경상북도,경상북도 봉화군,봉성면,0,0.3291596727265397,1.0,66599391.240005806,73876,433.1581115722656,967.4332885742188,18.01420599492839
yecheon_2023,37610330,경상북도,경상북도 봉화군,법전면,0,0.2072234658649113,0.9800000190734864,70519200.90821068,39308,425.1949768066406,692.6981811523438,18.07139558400902
yecheon_2023,37610340,경상북도,경상북도 봉화군,춘양면,0,0.1663508702494515,0.7300000190734863,167789711.75497466,107316,540.566650390625,1197.45166015625,18.938222037572842
yecheon_2023,33570310,충청북도,충청북도 음성군,소이면,0,0.6008952707965663,1.0,48749814.481054634,54140,199.9051971435547,402.38055419921875,17.70221194988406
yecheon_2023,33570320,충청북도,충청북도 음성군,원남면,0,0.4422564215183288,1.0,64535617.50313749,71671,215.24900817871094,513.8272094726562,17.982727838705493
yecheon_2023,33570330,충청북도,충청북도 음성군,맹동면,0,0.9252899692065886,1.0,34610868.54956326,13898,73.93486785888672,420.8876953125,17.35967831063219
yecheon_2023,33570360,충청북도,충청북도 음성군,생극면,0,0.0327661048540945,0.0099999997764825,55951951.46582008,12993,181.7862091064453,638.947265625,17.840003870859626
yecheon_2023,33590140,충청북도,충청북도 증평군,증평읍,0,0.6553974031655728,1.0,55469690.1475043,53535,143.08270263671875,646.4832153320312,17.831347306068533
yecheon_2023,33590310,충청북도,충청북도 증평군,도안면,0,0.5912018555595495,1.0,26430657.318662323,29313,123.33910369873047,486.1781311035156,17.090035156443832
yecheon_2023,37610380,경상북도,경상북도 봉화군,명호면,0,0.2271396989030692,0.959999978542328,114842014.44374256,103129,409.3768005371094,895.1376342773438,18.559067954370697
yecheon_2023,37610390,경상북도,경상북도 봉화군,상운면,0,0.3337555197594589,1.0,58973334.82309911,65445,322.2847595214844,625.1058959960938,17.892595947557975
yecheon_2023,33020530,충청북도,충청북도 충주시,교현·안림동,0,0.6357735141328841,1.0,27660008.165746372,30704,269.7064208984375,698.1544799804688,17.13549817941944
yecheon_2023,33020550,충청북도,충청북도 충주시,용산동,0,0.7139006273545482,1.0,1568780.4111063934,1751,180.776611328125,386.1126708984375,14.265809067240163
