event,label_source,variable,n_correct,n_misranked,correct_mean,misranked_mean,standardized_difference
Pohang 2022,Sentinel scar label,slope_degrees,426095.0,486289.0,14.1016,2.3844,1.1111
Pohang 2022,Sentinel scar label,elevation_m,426095.0,486289.0,148.1240,28.3687,0.8950
Pohang 2022,Sentinel scar label,log_upslope_area,,,,,
Pohang 2022,Sentinel scar label,valley_floor_indicator,,,,,
Yecheon 2023,Sentinel scar label,slope_degrees,8260909.0,2852611.0,19.4672,9.5911,0.9183
Yecheon 2023,Sentinel scar label,elevation_m,8260909.0,2852611.0,308.9993,208.9232,0.5283
Yecheon 2023,Sentinel scar label,log_upslope_area,,,,,
Yecheon 2023,Sentinel scar label,valley_floor_indicator,,,,,
Yecheon 2023,NIDR-only pixel label,slope_degrees,8391651.0,2721869.0,19.5641,8.8180,0.9991
Yecheon 2023,NIDR-only pixel label,elevation_m,8391651.0,2721869.0,312.1307,194.4613,0.6211
Yecheon 2023,NIDR-only pixel label,log_upslope_area,,,,,
Yecheon 2023,NIDR-only pixel label,valley_floor_indicator,,,,,
Chuncheon 2020,Sentinel scar label,slope_degrees,860290.0,399614.0,22.4593,14.1444,0.6974
Chuncheon 2020,Sentinel scar label,elevation_m,860290.0,399614.0,326.4343,251.5615,0.4381
Chuncheon 2020,Sentinel scar label,log_upslope_area,,,,,
Chuncheon 2020,Sentinel scar label,valley_floor_indicator,,,,,
Chuncheon 2020,NIDR-only pixel label,slope_degrees,866818.0,393086.0,22.5126,13.8888,0.7233
Chuncheon 2020,NIDR-only pixel label,elevation_m,866818.0,393086.0,327.6300,247.6812,0.4678
Chuncheon 2020,NIDR-only pixel label,log_upslope_area,,,,,
Chuncheon 2020,NIDR-only pixel label,valley_floor_indicator,,,,,
